	Country	City	Latitude	Longitude	Temperature	Humidity	Cloudiness	Wind Speed
4943	ca	saint-felicien	48.65	-72.45	23	53	90	11.41
2566	br	cachoeira	-12.6	-38.97	75.72	84	8	5.73
30331	ph	tagbubunga	11.13	124.4	81.12	100	0	11.43
15071	hn	pimienta	15.28	-87.97	72.48	75	8	1.81
46631	za	lydenburg	-25.1	30.46	57.09	97	48	1.7
9621	de	schwandorf	49.33	12.11	29.17	80	90	4.7
41651	ua	rakitnoye	49.69	30.47	18.48	92	88	10.76
33894	ro	poiana lacului	44.82	24.73	18.03	78	68	2.71
1645	be	marche-en-famenne	50.2	5.33	28.42	86	0	4.7
32586	ro	catunele	44.86	22.91	23.34	93	92	3.15
10087	dk	nyborg	55.31	10.8	29.91	100	32	11.77
4870	ca	pinawa	50.15	-95.88	27.93	80	80	8.41
41283	ua	frunzivka	47.33	29.76	17.67	87	0	9.75
45590	us	athens	32.2	-95.86	56.28	50	1	3.36
28396	ph	jovellar	13.07	123.6	83.1	81	0	3.15
43926	us	medfield	42.19	-71.31	35.01	69	1	6.93
33946	ro	provita de sus	45.13	25.63	17.67	75	56	2.59
10369	ec	puerto baquerizo moreno	-0.9	-89.6	79.32	100	8	8.97
13135	ge	tskneti	41.69	44.7	59	58	0	27.51
38098	ru	sharya	58.37	45.52	9.93	88	0	2.93
37870	ru	rebrikha	53.01	82.29	27.39	98	88	10.42
24206	mx	nuevo progreso	23.17	-97.95	70.14	100	0	8.41
44220	us	west saint paul	44.92	-93.1	28.81	74	1	3.36
21106	it	veglie	40.33	17.97	51.26	87	0	9.17
6686	co	caldono	2.8	-76.48	53.94	100	64	1.59
2399	br	arroio do meio	-29.4	-51.95	59.79	96	88	2.37
2051	bg	sandanski	41.57	23.28	34.95	88	88	1.92
30765	pk	ghotki	28.01	69.32	61.86	81	0	6.17
46715	za	virginia	-28.1	26.87	55.47	98	64	7.29
12259	gb	ashton-under-lyne	53.5	-2.1	31.55	100	12	2.24
18931	in	paradip	20.32	86.62	84.27	69	0	4.27
7595	cr	limon	9.99	-83.03	79.95	100	32	5.73
41264	ua	dublyany	49.5	23.39	23	92	90	8.95
39261	ru	zhigalovo	54.81	105.16	23.43	57	76	3.15
422	am	zaritap	39.64	45.51	41.61	49	88	4.72
40526	tr	bozova	37.36	38.53	50	76	0	18.34
21347	jp	hofu	34.05	131.57	44.04	100	90	3.36
31334	pl	sochaczew	52.23	20.25	28.4	68	40	11.41
30178	ph	semut	6.66	122.22	87.8	62	40	4.7
16289	id	grogol	-7.3	110.75	83.64	86	24	7.74
11405	fr	beauvais	49.43	2.08	33.8	86	0	9.17
4145	br	tocantins	-21.17	-43.03	67.62	98	88	3.38
39760	sl	largo	8.27	-12.15	74.64	91	32	3.38
18901	in	pallapatti	10.7	77.88	79.05	56	0	3.04
36696	ru	kurchatov	51.66	35.65	13.71	90	88	6.17
33674	ro	negomiru	44.83	23.17	20.82	77	80	2.71
15832	hu	nagyrede	47.77	19.85	30.2	86	90	9.17
26430	pa	gatun	9.29	-79.77	78.73	74	20	9.17
15466	hu	csaszartoltes	46.42	19.18	26.4	94	92	7.63
40595	tr	gumusyaka	41.05	28.04	48.47	93	0	6.93
23293	mx	acazulco	19.27	-99.43	76.77	42	40	12.75
29481	ph	payuhan	5.94	120.9	85.08	90	0	12.33
5771	cm	manjo	4.85	9.82	68.61	98	76	2.37
1607	be	landen	50.75	5.08	30.65	83	0	6.93
8746	de	ebersberg	48.08	11.97	30.2	86	75	4.7
15707	hu	kiskunmajsa	46.49	19.74	31.23	100	90	11.41
33327	ro	islaz	43.73	24.75	27.3	84	24	2.82
25653	nl	rhenen	51.96	5.57	32.72	100	90	3.36
33234	ro	harlau	47.43	26.9	25.74	79	20	13.87
1609	be	lebbeke	51.0	4.13	31.69	77	75	2.24
21444	jp	kani	35.4	137.06	44.6	93	75	25.28
18302	in	kollam	8.88	76.59	80.6	94	20	2.24
9414	de	oer-erkenschwick	51.63	7.25	27.21	73	0	1.12
6444	cn	xixiang	35.16	112.86	41.79	61	0	3.94
30127	ph	santo rosario	15.43	120.89	80.6	69	40	9.17
22887	mk	lukovo	41.35	20.6	32.79	98	92	1.36
36042	ru	ishimbay	53.45	56.04	-2.41	59	8	3.15
21364	jp	ijuin	31.62	130.4	53.6	100	75	6.93
15752	hu	letavertes	47.38	21.9	28.4	74	24	10.29
20461	it	genoa	44.42	8.95	46.4	52	40	14.99
37274	ru	novaya malykla	54.2	49.95	0.66	62	56	3.15
